Title,Technologies,url
Odoo Developer (Middle/Senior),"Python,HTML/CSS,Git,JS,SQL,Docker",https://djinni.co/jobs/359059-odoo-developer-middle-senior-/
Middle Python Developer,"OOP/SOLID,Python,Algorithms and data structures,AWS/Azure",https://djinni.co/jobs/609822-middle-python-developer/
Middle Python Software Engineer (CMS Team),"Python,Git,JS,SQL,Frontend",https://djinni.co/jobs/609539-middle-python-software-engineer-cms-team-/
Middle/Senior Python developer,"Python,JS",https://djinni.co/jobs/600580-middle-senior-python-developer/
Middle Python Developer (with Next.js exp),"Python,JS",https://djinni.co/jobs/609665-middle-python-developer-with-next-js-exp-/
"Strong Middle/ Senior Full Stack Developer (Python, React Native)","Python,FastAPI,Celery,AWS/Azure,Algorithms and data structures,ORM,SQL,Docker,Frontend",https://djinni.co/jobs/609288-strong-middle-senior-full-stack-developer-pyt/
Middle Full Stack (Django/React) Developer,"Django,Python,Frontend,JS",https://djinni.co/jobs/609548-middle-full-stack-django-react-developer/
Middle/Senior Python/Django developer,"Python,Django,Git,Celery,SQL,DRF,OOP/SOLID,Docker",https://djinni.co/jobs/452781-middle-senior-python-django-developer/
"Middle Python/Django developer, full stack as a plus (front preferable vue.js)","Python,Django,JS,DRF,Docker,Frontend",https://djinni.co/jobs/609621-middle-python-django-developer-full-stack-as-/
Middle Python Developer,"Python,NoSQL,Django,FastAPI,Flask,JS,SQL,Docker,Frontend,Linux",https://djinni.co/jobs/550647-middle-python-developer/
Middle Python Engineer,"Python,Flask,Git",https://djinni.co/jobs/304711-middle-python-engineer/
Middle Python Developer,"Python,Django,FastAPI,Git,Flask,OOP/SOLID,ML",https://djinni.co/jobs/608483-middle-python-developer/
Middle Python Developer,"Python,Django,AWS/Azure,Flask,ORM,SQL,DRF,OOP/SOLID,Docker",https://djinni.co/jobs/608667-middle-python-developer/
Junior/Middle Python Engineer,"OOP/SOLID,Python",https://djinni.co/jobs/608666-junior-middle-python-engineer/
Middle/Senior Full-Stack Developer (Django+React),"Python,Django,HTML/CSS,Celery,JS,SQL,Frontend",https://djinni.co/jobs/609155-middle-senior-full-stack-developer-django-rea/
Middle Python Developer,"Python,Django,Celery,AWS/Azure,SQL,Docker,Asyncio",https://djinni.co/jobs/606597-middle-python-developer/
Middle Python Developer,"Python,Django,Celery,AWS/Azure,SQL,DRF,Docker,Asyncio",https://djinni.co/jobs/606776-middle-python-developer/
Middle to Senior Python Engineer,"Python,Django,FastAPI,HTML/CSS,AWS/Azure,Flask,JS,SQL,OOP/SOLID",https://djinni.co/jobs/598977-middle-to-senior-python-engineer/
Middle+ ML (Python developer) for a Swedish company,"Python,Git,SQL,Frontend,ML",https://djinni.co/jobs/606682-middle-ml-python-developer-for-a-swedish-comp/
Middle Python Engineer (BI),"Python,FastAPI,Git,Flask,Algorithms and data structures,ORM,SQL",https://djinni.co/jobs/606516-middle-python-engineer-bi-/
Middle Python Engineer для проєкту з нуля для трейдингу в криптобіржах,"Python,ML,DRF",https://djinni.co/jobs/606262-middle-python-engineer-dlia-proiektu-z-nulia-/
Junior+/Middle Python Developer,"Python,Django,Celery,AWS/Azure,SQL,DRF,Docker,Asyncio",https://djinni.co/jobs/606167-junior-middle-python-developer/
Middle Python Developer,"Python,Django,Git,Celery,AWS/Azure",https://djinni.co/jobs/575048-middle-python-developer/
Middle Python Engineer in UAV Product,"Python,NoSQL,Asyncio,SQL",https://djinni.co/jobs/607415-middle-python-engineer-in-uav-product/
Python Developer (Strong Middle/Senior),"Python,NoSQL,Django,FastAPI,Git,SQL,Docker,Asyncio,Linux",https://djinni.co/jobs/607246-python-developer-strong-middle-senior-/
Middle Backend Developer,"SQL,Python,Django,FastAPI",https://djinni.co/jobs/608431-middle-backend-developer/
Middle Python Developer,"Python,JS,Linux,SQL",https://djinni.co/jobs/586564-middle-python-developer/
Middle Python Developer,"Python,Docker",https://djinni.co/jobs/588728-middle-python-developer/
Middle Python Developer,"Python,Networking,HTML/CSS,Celery,AWS/Azure,Flask,ORM,SQL,Linux",https://djinni.co/jobs/463004-middle-python-developer/
Junior/Middle Python Engineer,"OOP/SOLID,Python",https://djinni.co/jobs/608228-junior-middle-python-engineer/
Middle/Senior Python/Spark developer for global product (audit and assurance company BIG FOUR),"Python,NoSQL,Git,AWS/Azure,Flask,SQL,Docker,Linux",https://djinni.co/jobs/605521-middle-senior-python-spark-developer-for-glob/
Middle Python Developer,"Python,NoSQL,Django,FastAPI,AWS/Azure,Flask,SQL,OOP/SOLID,Docker",https://djinni.co/jobs/604014-middle-python-developer/
Middle Python Engineer,"Python,ML,DRF",https://djinni.co/jobs/604107-middle-python-engineer/
Middle+ Python Developer,"Python,Django,Celery,AWS/Azure,SQL,DRF,Docker,Asyncio",https://djinni.co/jobs/549926-middle-python-developer/
Middle Python Developer (Automation Team),"Python,NoSQL,Django,Networking,Git,AWS/Azure,Flask,SQL,DRF,OOP/SOLID,Docker,Linux",https://djinni.co/jobs/578637-middle-python-developer-automation-team-/
Middle Python Developer,"Python,FastAPI,Celery,AWS/Azure,Flask,ORM,SQL,Docker,Asyncio",https://djinni.co/jobs/604668-middle-python-developer/
Strong Junior/Middle Python Developer,"Python,Django,HTML/CSS,Flask,ORM,JS",https://djinni.co/jobs/605878-strong-junior-middle-python-developer/
Middle Data Engineer,"OOP/SOLID,Python,SQL",https://djinni.co/jobs/604789-middle-data-engineer/
Middle Python Developer,"Python,Docker,SQL,DRF",https://djinni.co/jobs/545042-middle-python-developer/
